source_a,source_b,size_a,size_b,overlap,overlap_pct_of_a,overlap_pct_of_b
direct: Loyalsoldier direct (raw),block: Adblock Warning Removal List,588,1834,0,0.00,0.00
direct: Loyalsoldier direct (raw),block: EasyList China,588,11495,0,0.00,0.00
direct: Loyalsoldier direct (raw),block: EasyPrivacy,588,49624,10,1.70,0.02
direct: Loyalsoldier direct (raw),block: Fanboy Annoyance List,588,28196,4,0.68,0.01
direct: Loyalsoldier direct (raw),block: Fanboy Social Blocking List,588,5076,0,0.00,0.00
direct: Loyalsoldier direct (raw),block: HaGeZi Light (adblock),588,42431,14,2.38,0.03
direct: Loyalsoldier direct (raw),block: StevenBlack Unified hosts,588,97125,25,4.25,0.03
direct: Loyalsoldier direct (raw),block: anti-AD (AdGuard),588,95141,30,5.10,0.03
direct: Loyalsoldier direct (raw),block: hBlock hosts_adblock,588,440043,35,5.95,0.01
direct: Loyalsoldier direct (raw),direct: Loyalsoldier direct (jsdelivr),588,588,588,100.00,100.00
direct: Loyalsoldier direct (raw),direct: Loyalsoldier direct (raw),588,588,588,100.00,100.00
